,ID,Rad,U_Rad,KIC,Period,U_Period,DetectProb
2048,2399.01,0.7703257293477581,0.0354981138642375,11461433,1.916940872,6.033e-06,0.006004162437589067
2049,2400.01,2.48111544310686,0.1518521810642321,7984574,11.6191707,4.594e-05,0.002885956728419743
2050,2402.01,1.47168151315131,0.0547774920079113,8481129,16.3012727,0.0001047,0.0019190956096194
2051,2403.01,1.2763231011797065,0.0705122585142043,2142522,13.32354078,9.754e-05,0.001997423252921054
2052,2404.01,1.9829330090539257,0.1910888187761938,6364215,2.10081629,1.482e-05,0.00907889835518784
2053,2406.01,1.9894327842657265,0.0901195569261521,5007345,7.01074295,2.517e-05,0.003950556529524942
2054,2408.01,2.1350662971153747,0.5507887232853693,6429812,94.289223,0.0006466,0.0005318898081792924
2055,2409.01,1.3852539800822623,0.0506268724801009,10024051,0.5773693360000001,3.95e-07,0.021377978723040696
2056,2411.01,3.62313817128736,0.1835942150074971,8073806,11.96407399,5.738e-05,0.002904274187760793
2057,2414.01,1.8929189384787133,0.0970119011561519,8611832,22.5968256,0.0002242,0.001720474203481001
2058,2414.02,2.3385279199261584,0.3551215833752121,8611832,45.3486381,0.0004007,0.0010186694552948052
2059,2415.01,2.242337441467292,0.1534312483753748,5621586,5.25419589,1.901e-05,0.004922065361889432
2060,2416.01,1.7915654060107729,0.1478396789276956,9210387,5.90608902,3.734e-05,0.004377599387595389
2061,2417.01,2.8783852206990246,0.1040289319803373,9654468,47.7052566,0.0004697,0.0010398575612490047
2062,2419.01,3.1476680618527166,0.1579873911059137,6343170,9.95667035,5.854e-05,0.0032722637440750196
2063,2420.01,1.4913710109150415,0.0794514935550819,7107802,10.41728722,6.695e-05,0.0027801528961065147
2064,2420.02,0.9669353578065352,0.0729722493085332,7107802,5.4675514,6.16e-05,0.0030755561023453866
2065,2422.01,1.4629032539240046,0.0917651070329958,11360805,26.7838935,0.0001582,0.001252558805537614
2066,2422.02,1.7239736358753837,0.3797004029453541,11360805,57.3888262,0.0005823,0.0006938762956355919
2067,2423.01,2.2981379289236026,0.1105112356059189,9845898,45.126216,0.0004995,0.0010259144205565637
2068,2424.01,1.9612811881307013,0.1089370191291604,12453581,11.94019101,7.096e-05,0.0027190491324837586
2069,2426.01,0.7953634558053045,0.0503222388632819,8081899,4.16056658,2.577e-05,0.002697997723987328
2070,2432.01,1.971304684655848,0.1087327758216856,7047363,31.0572947,0.0002303,0.0013336203979946483
2071,2433.01,3.085062179928484,0.1368119734429159,11968463,15.1622287,0.000124,0.002420228489800661
2072,2433.02,2.9086184835175457,0.1390850475491649,11968463,10.04378351,6.551e-05,0.0032020012507817386
2073,2433.03,2.864537587273289,0.135344192209334,11968463,56.4148314,0.0009049,0.0008963252305915241
2074,2433.04,2.1681314934743647,0.3847571108057824,11968463,27.9040511,0.0004018,0.0014982041371485594
2075,2433.06,1.5643313152185547,0.1195549096533513,11968463,6.06330298,5.564e-05,0.0041957917687625804
2076,2433.07,2.8181745737847783,0.1216062939343799,11968463,86.431871,0.001719,0.0006705010303570879
2077,2436.01,2.547092458333724,0.1763053676780852,8570333,84.5733346,0.0006541,0.0006728248871391614
2078,2437.01,2.166951171517744,0.2287348669728383,5036705,4.14789051,3.408e-05,0.005748128099187675
2079,2442.01,1.9082943069926737,0.4120719305857156,11080405,25.1933989,0.0001689,0.0015079096566501604
2080,2442.02,1.4814035332605806,0.3448997752245229,11080405,12.3101351,0.0001292,0.0023241301769890334
2081,2443.01,1.1426122530993472,0.0662585499634138,9209624,6.79164656,4.313e-05,0.0032070590567191927
2082,2443.02,1.1259489005911467,0.0445971222135206,9209624,11.8376933,0.0001051,0.0018827340858528384
2083,2444.01,2.535149767213684,0.6979497200341579,3354846,18.5525162,0.0001372,0.002055109580099584
2084,2445.01,12.989457915069346,2.5978915830138694,6516185,47.3659328,0.0008396,0.0010807301011219446
2085,2448.01,2.881621486080672,0.0703553948298122,5857540,13.62801048,6.229e-05,0.002618166408650215
2086,2449.01,2.6750724036873272,0.0830335498713629,12208631,53.3580444,0.0005713,0.0009277656458784008
2087,2449.02,1.144289141991799,0.2242644445318702,12208631,0.912351255,5.861e-06,0.014954565182474018
2088,2450.01,1.5380228683281556,0.4833036649424958,7289317,16.83203175,8.532e-05,0.0017856788908368277
2089,2450.02,0.9279477461965684,0.06138329372552,7289317,7.1931193,7.972e-05,0.002092701380986067
2090,2457.01,1.903969570351281,0.1105205774778631,9753154,3.70429015,2.561e-05,0.006161091119107912
2091,2458.01,1.4072966166494854,0.2449088528631366,7604328,4.35407371,2.044e-05,0.005128341825662897
2092,2458.02,1.5208751193231458,0.1836097179457484,7604328,2.9365879460000004,9.202e-06,0.006971707043678255
2093,2461.01,2.350575364113745,0.6360177079416557,9837685,13.71218522,6.013e-05,0.002505664400906304
2094,2462.01,1.5032557338510046,0.3276579831746044,5042210,12.14684625,8.2e-05,0.0023805862270476425
